Community,Task,Field,Value
C25221 - Aspire at Waterstone (25221),Open for Sale,CIP-Milestone,*
C25221 - Aspire at Waterstone (25221),Open for Sale,CIP-Team,Sales
C25221 - Aspire at Waterstone (25221),Open for Sale,CIP-Line ID,P1029.C
C25221 - Aspire at Waterstone (25221),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C25221 - Aspire at Waterstone (25221),First Lot Takedown/Open Escrow,Due On,2023-02-20
C25221 - Aspire at Waterstone (25221),First Lot Takedown/Open Escrow,CIP-Milestone,*
C25221 - Aspire at Waterstone (25221),First Lot Takedown/Open Escrow,CIP-Team,Legal
C25221 - Aspire at Waterstone (25221),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C25221 - Aspire at Waterstone (25221),Start Production,Assignee,1199128502925200
C25221 - Aspire at Waterstone (25221),Start Production,Due On,2023-02-27
C25221 - Aspire at Waterstone (25221),Start Production,CIP-Milestone,*
C25221 - Aspire at Waterstone (25221),Start Production,CIP-Team,Construction
C25221 - Aspire at Waterstone (25221),Start Production,CIP-Line ID,P1032.C
C25221 - Aspire at Waterstone (25221),1st Production Foundation Start,Assignee,1202453112366854
C25221 - Aspire at Waterstone (25221),1st Production Foundation Start,Due On,2023-03-06
C25221 - Aspire at Waterstone (25221),1st Production Foundation Start,CIP-Milestone,*
C25221 - Aspire at Waterstone (25221),1st Production Foundation Start,CIP-Team,Operations
C25221 - Aspire at Waterstone (25221),1st Production Foundation Start,CIP-Line ID,P1103.C
C25223 - Aspire at Port St. Lucie (25223),ID Property,Assignee,1202483398164627
C25223 - Aspire at Port St. Lucie (25223),ID Property,Due On,2022-11-09
C25223 - Aspire at Port St. Lucie (25223),ID Property,CIP-Milestone,*
C25223 - Aspire at Port St. Lucie (25223),ID Property,CIP-Team,"Architecture, Land Acq"
C25223 - Aspire at Port St. Lucie (25223),ID Property,CIP-Line ID,P1000.C
C25223 - Aspire at Port St. Lucie (25223),Submit for Model Permit,Assignee,1199128502925200
C25223 - Aspire at Port St. Lucie (25223),Submit for Model Permit,Due On,2022-12-26
C25223 - Aspire at Port St. Lucie (25223),Submit for Model Permit,CIP-Milestone,*
C25223 - Aspire at Port St. Lucie (25223),Submit for Model Permit,CIP-Team,Construction
C25223 - Aspire at Port St. Lucie (25223),Submit for Model Permit,CIP-Line ID,P1066.C
C25223 - Aspire at Port St. Lucie (25223),Plan Approval,Assignee,1202453112366854
C25223 - Aspire at Port St. Lucie (25223),Plan Approval,Due On,2023-01-02
C25223 - Aspire at Port St. Lucie (25223),Plan Approval,CIP-Milestone,*
C25223 - Aspire at Port St. Lucie (25223),Plan Approval,CIP-Team,Architecture
C25223 - Aspire at Port St. Lucie (25223),Plan Approval,CIP-Line ID,P1010.C
C25223 - Aspire at Port St. Lucie (25223),Begin Bid Process,Assignee,1202584680648809
C25223 - Aspire at Port St. Lucie (25223),Begin Bid Process,Due On,2023-01-09
C25223 - Aspire at Port St. Lucie (25223),Begin Bid Process,CIP-Milestone,*
C25223 - Aspire at Port St. Lucie (25223),Begin Bid Process,CIP-Team,Purchasing
C25223 - Aspire at Port St. Lucie (25223),Begin Bid Process,CIP-Line ID,P1011.C
C25223 - Aspire at Port St. Lucie (25223),Contract Signed,Assignee,1202483398164627
C25223 - Aspire at Port St. Lucie (25223),Contract Signed,Due On,2023-01-16
C25223 - Aspire at Port St. Lucie (25223),Contract Signed,CIP-Milestone,*
C25223 - Aspire at Port St. Lucie (25223),Contract Signed,CIP-Team,Legal
C25223 - Aspire at Port St. Lucie (25223),Contract Signed,CIP-Line ID,P1083.C
C25223 - Aspire at Port St. Lucie (25223),LD Start,Assignee,1199128502925200
C25223 - Aspire at Port St. Lucie (25223),LD Start,Due On,2023-01-30
C25223 - Aspire at Port St. Lucie (25223),LD Start,Start On,2023-01-23
C25223 - Aspire at Port St. Lucie (25223),LD Start,CIP-Milestone,*
C25223 - Aspire at Port St. Lucie (25223),LD Start,CIP-Team,Land Dev
C25223 - Aspire at Port St. Lucie (25223),LD Start,CIP-Line ID,P1086.C
C25223 - Aspire at Port St. Lucie (25223),Energize Site (Site Hot),Assignee,1199128502925200
C25223 - Aspire at Port St. Lucie (25223),Energize Site (Site Hot),Due On,2023-02-03
C25223 - Aspire at Port St. Lucie (25223),Energize Site (Site Hot),Start On,2023-01-31
C25223 - Aspire at Port St. Lucie (25223),Energize Site (Site Hot),CIP-Milestone,*
C25223 - Aspire at Port St. Lucie (25223),Energize Site (Site Hot),CIP-Team,Land Dev
C25223 - Aspire at Port St. Lucie (25223),Energize Site (Site Hot),CIP-Line ID,P1019.C
C25223 - Aspire at Port St. Lucie (25223),Model Start,Assignee,1199128502925200
C25223 - Aspire at Port St. Lucie (25223),Model Start,Due On,2023-02-06
C25223 - Aspire at Port St. Lucie (25223),Model Start,CIP-Milestone,*
C25223 - Aspire at Port St. Lucie (25223),Model Start,CIP-Team,Construction
C25223 - Aspire at Port St. Lucie (25223),Model Start,CIP-Line ID,P1030.C
C25223 - Aspire at Port St. Lucie (25223),Open for Sale,Assignee,1202584680648809
C25223 - Aspire at Port St. Lucie (25223),Open for Sale,Due On,2023-02-13
C25223 - Aspire at Port St. Lucie (25223),Open for Sale,CIP-Milestone,*
C25223 - Aspire at Port St. Lucie (25223),Open for Sale,CIP-Team,Sales
C25223 - Aspire at Port St. Lucie (25223),Open for Sale,CIP-Line ID,P1029.C
C25223 - Aspire at Port St. Lucie (25223),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C25223 - Aspire at Port St. Lucie (25223),First Lot Takedown/Open Escrow,Due On,2023-02-20
C25223 - Aspire at Port St. Lucie (25223),First Lot Takedown/Open Escrow,CIP-Milestone,*
C25223 - Aspire at Port St. Lucie (25223),First Lot Takedown/Open Escrow,CIP-Team,Legal
C25223 - Aspire at Port St. Lucie (25223),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C25223 - Aspire at Port St. Lucie (25223),Start Production,Assignee,1199128502925200
C25223 - Aspire at Port St. Lucie (25223),Start Production,Due On,2023-02-27
C25223 - Aspire at Port St. Lucie (25223),Start Production,CIP-Milestone,*
C25223 - Aspire at Port St. Lucie (25223),Start Production,CIP-Team,Construction
C25223 - Aspire at Port St. Lucie (25223),Start Production,CIP-Line ID,P1032.C
C25223 - Aspire at Port St. Lucie (25223),1st Production Foundation Start,Assignee,1202453112366854
C25223 - Aspire at Port St. Lucie (25223),1st Production Foundation Start,Due On,2023-03-06
C25223 - Aspire at Port St. Lucie (25223),1st Production Foundation Start,CIP-Milestone,*
C25223 - Aspire at Port St. Lucie (25223),1st Production Foundation Start,CIP-Team,Operations
C25223 - Aspire at Port St. Lucie (25223),1st Production Foundation Start,CIP-Line ID,P1103.C
C25224 - Preserve at Avonlea (25224),ID Property,Assignee,1202483398164627
C25224 - Preserve at Avonlea (25224),ID Property,Due On,2022-11-09
C25224 - Preserve at Avonlea (25224),ID Property,CIP-Milestone,*
C25224 - Preserve at Avonlea (25224),ID Property,CIP-Team,"Architecture, Land Acq"
C25224 - Preserve at Avonlea (25224),ID Property,CIP-Line ID,P1000.C
C25224 - Preserve at Avonlea (25224),Submit for Model Permit,Assignee,1199128502925200
C25224 - Preserve at Avonlea (25224),Submit for Model Permit,Due On,2022-12-26
C25224 - Preserve at Avonlea (25224),Submit for Model Permit,CIP-Milestone,*
C25224 - Preserve at Avonlea (25224),Submit for Model Permit,CIP-Team,Construction
C25224 - Preserve at Avonlea (25224),Submit for Model Permit,CIP-Line ID,P1066.C
C25224 - Preserve at Avonlea (25224),Plan Approval,Assignee,1202453112366854
C25224 - Preserve at Avonlea (25224),Plan Approval,Due On,2023-01-02
C25224 - Preserve at Avonlea (25224),Plan Approval,CIP-Milestone,*
C25224 - Preserve at Avonlea (25224),Plan Approval,CIP-Team,Architecture
C25224 - Preserve at Avonlea (25224),Plan Approval,CIP-Line ID,P1010.C
C25224 - Preserve at Avonlea (25224),Begin Bid Process,Assignee,1202584680648809
C25224 - Preserve at Avonlea (25224),Begin Bid Process,Due On,2023-01-09
C25224 - Preserve at Avonlea (25224),Begin Bid Process,CIP-Milestone,*
C25224 - Preserve at Avonlea (25224),Begin Bid Process,CIP-Team,Purchasing
C25224 - Preserve at Avonlea (25224),Begin Bid Process,CIP-Line ID,P1011.C
C25224 - Preserve at Avonlea (25224),Contract Signed,Assignee,1202483398164627
C25224 - Preserve at Avonlea (25224),Contract Signed,Due On,2023-01-16
C25224 - Preserve at Avonlea (25224),Contract Signed,CIP-Milestone,*
C25224 - Preserve at Avonlea (25224),Contract Signed,CIP-Team,Legal
C25224 - Preserve at Avonlea (25224),Contract Signed,CIP-Line ID,P1083.C
C25224 - Preserve at Avonlea (25224),LD Start,Assignee,1199128502925200
C25224 - Preserve at Avonlea (25224),LD Start,Due On,2023-01-30
C25224 - Preserve at Avonlea (25224),LD Start,Start On,2023-01-23
C25224 - Preserve at Avonlea (25224),LD Start,CIP-Milestone,*
C25224 - Preserve at Avonlea (25224),LD Start,CIP-Team,Land Dev
C25224 - Preserve at Avonlea (25224),LD Start,CIP-Line ID,P1086.C
C25224 - Preserve at Avonlea (25224),Energize Site (Site Hot),Assignee,1199128502925200
C25224 - Preserve at Avonlea (25224),Energize Site (Site Hot),Due On,2023-02-03
C25224 - Preserve at Avonlea (25224),Energize Site (Site Hot),Start On,2023-01-31
C25224 - Preserve at Avonlea (25224),Energize Site (Site Hot),CIP-Milestone,*
C25224 - Preserve at Avonlea (25224),Energize Site (Site Hot),CIP-Team,Land Dev
C25224 - Preserve at Avonlea (25224),Energize Site (Site Hot),CIP-Line ID,P1019.C
C25224 - Preserve at Avonlea (25224),Model Start,Assignee,1199128502925200
C25224 - Preserve at Avonlea (25224),Model Start,Due On,2023-02-06
C25224 - Preserve at Avonlea (25224),Model Start,CIP-Milestone,*
C25224 - Preserve at Avonlea (25224),Model Start,CIP-Team,Construction
C25224 - Preserve at Avonlea (25224),Model Start,CIP-Line ID,P1030.C
C25224 - Preserve at Avonlea (25224),Open for Sale,Assignee,1202584680648809
C25224 - Preserve at Avonlea (25224),Open for Sale,Due On,2023-02-13
C25224 - Preserve at Avonlea (25224),Open for Sale,CIP-Milestone,*
C25224 - Preserve at Avonlea (25224),Open for Sale,CIP-Team,Sales
C25224 - Preserve at Avonlea (25224),Open for Sale,CIP-Line ID,P1029.C
C25224 - Preserve at Avonlea (25224),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C25224 - Preserve at Avonlea (25224),First Lot Takedown/Open Escrow,Due On,2023-02-20
C25224 - Preserve at Avonlea (25224),First Lot Takedown/Open Escrow,CIP-Milestone,*
C25224 - Preserve at Avonlea (25224),First Lot Takedown/Open Escrow,CIP-Team,Legal
C25224 - Preserve at Avonlea (25224),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C25224 - Preserve at Avonlea (25224),Start Production,Assignee,1199128502925200
C25224 - Preserve at Avonlea (25224),Start Production,Due On,2023-02-27
C25224 - Preserve at Avonlea (25224),Start Production,CIP-Milestone,*
C25224 - Preserve at Avonlea (25224),Start Production,CIP-Team,Construction
C25224 - Preserve at Avonlea (25224),Start Production,CIP-Line ID,P1032.C
C25224 - Preserve at Avonlea (25224),1st Production Foundation Start,Assignee,1202453112366854
C25224 - Preserve at Avonlea (25224),1st Production Foundation Start,Due On,2023-03-06
C25224 - Preserve at Avonlea (25224),1st Production Foundation Start,CIP-Milestone,*
C25224 - Preserve at Avonlea (25224),1st Production Foundation Start,CIP-Team,Operations
C25224 - Preserve at Avonlea (25224),1st Production Foundation Start,CIP-Line ID,P1103.C
C25225 - Boatman Hammock (25225),ID Property,Assignee,1202483398164627
C25225 - Boatman Hammock (25225),ID Property,Due On,2022-11-09
C25225 - Boatman Hammock (25225),ID Property,CIP-Milestone,*
C25225 - Boatman Hammock (25225),ID Property,CIP-Team,"Architecture, Land Acq"
C25225 - Boatman Hammock (25225),ID Property,CIP-Line ID,P1000.C
C25225 - Boatman Hammock (25225),Submit for Model Permit,Assignee,1199128502925200
C25225 - Boatman Hammock (25225),Submit for Model Permit,Due On,2022-12-26
C25225 - Boatman Hammock (25225),Submit for Model Permit,CIP-Milestone,*
C25225 - Boatman Hammock (25225),Submit for Model Permit,CIP-Team,Construction
C25225 - Boatman Hammock (25225),Submit for Model Permit,CIP-Line ID,P1066.C
C25225 - Boatman Hammock (25225),Plan Approval,Assignee,1202453112366854
C25225 - Boatman Hammock (25225),Plan Approval,Due On,2023-01-02
C25225 - Boatman Hammock (25225),Plan Approval,CIP-Milestone,*
C25225 - Boatman Hammock (25225),Plan Approval,CIP-Team,Architecture
C25225 - Boatman Hammock (25225),Plan Approval,CIP-Line ID,P1010.C
C25225 - Boatman Hammock (25225),Begin Bid Process,Assignee,1202584680648809
C25225 - Boatman Hammock (25225),Begin Bid Process,Due On,2023-01-09
C25225 - Boatman Hammock (25225),Begin Bid Process,CIP-Milestone,*
C25225 - Boatman Hammock (25225),Begin Bid Process,CIP-Team,Purchasing
C25225 - Boatman Hammock (25225),Begin Bid Process,CIP-Line ID,P1011.C
C25225 - Boatman Hammock (25225),Contract Signed,Assignee,1202483398164627
C25225 - Boatman Hammock (25225),Contract Signed,Due On,2023-01-16
C25225 - Boatman Hammock (25225),Contract Signed,CIP-Milestone,*
C25225 - Boatman Hammock (25225),Contract Signed,CIP-Team,Legal
C25225 - Boatman Hammock (25225),Contract Signed,CIP-Line ID,P1083.C
C25225 - Boatman Hammock (25225),LD Start,Assignee,1199128502925200
C25225 - Boatman Hammock (25225),LD Start,Due On,2023-01-30
C25225 - Boatman Hammock (25225),LD Start,Start On,2023-01-23
C25225 - Boatman Hammock (25225),LD Start,CIP-Milestone,*
C25225 - Boatman Hammock (25225),LD Start,CIP-Team,Land Dev
C25225 - Boatman Hammock (25225),LD Start,CIP-Line ID,P1086.C
C25225 - Boatman Hammock (25225),Energize Site (Site Hot),Assignee,1199128502925200
C25225 - Boatman Hammock (25225),Energize Site (Site Hot),Due On,2023-02-03
C25225 - Boatman Hammock (25225),Energize Site (Site Hot),Start On,2023-01-31
C25225 - Boatman Hammock (25225),Energize Site (Site Hot),CIP-Milestone,*
C25225 - Boatman Hammock (25225),Energize Site (Site Hot),CIP-Team,Land Dev
C25225 - Boatman Hammock (25225),Energize Site (Site Hot),CIP-Line ID,P1019.C
C25225 - Boatman Hammock (25225),Model Start,Assignee,1199128502925200
C25225 - Boatman Hammock (25225),Model Start,Due On,2023-02-06
C25225 - Boatman Hammock (25225),Model Start,CIP-Milestone,*
C25225 - Boatman Hammock (25225),Model Start,CIP-Team,Construction
C25225 - Boatman Hammock (25225),Model Start,CIP-Line ID,P1030.C
C25225 - Boatman Hammock (25225),Open for Sale,Assignee,1202584680648809
C25225 - Boatman Hammock (25225),Open for Sale,Due On,2023-02-13
C25225 - Boatman Hammock (25225),Open for Sale,CIP-Milestone,*
C25225 - Boatman Hammock (25225),Open for Sale,CIP-Team,Sales
C25225 - Boatman Hammock (25225),Open for Sale,CIP-Line ID,P1029.C
C25225 - Boatman Hammock (25225),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C25225 - Boatman Hammock (25225),First Lot Takedown/Open Escrow,Due On,2023-02-20
C25225 - Boatman Hammock (25225),First Lot Takedown/Open Escrow,CIP-Milestone,*
C25225 - Boatman Hammock (25225),First Lot Takedown/Open Escrow,CIP-Team,Legal
C25225 - Boatman Hammock (25225),First Lot Takedown/Open Escrow,CIP-Line ID,P1091.C
C25225 - Boatman Hammock (25225),Start Production,Assignee,1199128502925200
C25225 - Boatman Hammock (25225),Start Production,Due On,2023-02-27
C25225 - Boatman Hammock (25225),Start Production,CIP-Milestone,*
C25225 - Boatman Hammock (25225),Start Production,CIP-Team,Construction
C25225 - Boatman Hammock (25225),Start Production,CIP-Line ID,P1032.C
C25225 - Boatman Hammock (25225),1st Production Foundation Start,Assignee,1202453112366854
C25225 - Boatman Hammock (25225),1st Production Foundation Start,Due On,2023-03-06
C25225 - Boatman Hammock (25225),1st Production Foundation Start,CIP-Milestone,*
C25225 - Boatman Hammock (25225),1st Production Foundation Start,CIP-Team,Operations
C25225 - Boatman Hammock (25225),1st Production Foundation Start,CIP-Line ID,P1103.C
C25226 - Hawks Ridge (25226),ID Property,Assignee,1202483398164627
C25226 - Hawks Ridge (25226),ID Property,Due On,2022-11-09
C25226 - Hawks Ridge (25226),ID Property,CIP-Milestone,*
C25226 - Hawks Ridge (25226),ID Property,CIP-Team,"Architecture, Land Acq"
C25226 - Hawks Ridge (25226),ID Property,CIP-Line ID,P1000.C
C25226 - Hawks Ridge (25226),Submit for Model Permit,Assignee,1199128502925200
C25226 - Hawks Ridge (25226),Submit for Model Permit,Due On,2022-12-26
C25226 - Hawks Ridge (25226),Submit for Model Permit,CIP-Milestone,*
C25226 - Hawks Ridge (25226),Submit for Model Permit,CIP-Team,Construction
C25226 - Hawks Ridge (25226),Submit for Model Permit,CIP-Line ID,P1066.C
C25226 - Hawks Ridge (25226),Plan Approval,Assignee,1202453112366854
C25226 - Hawks Ridge (25226),Plan Approval,Due On,2023-01-02
C25226 - Hawks Ridge (25226),Plan Approval,CIP-Milestone,*
C25226 - Hawks Ridge (25226),Plan Approval,CIP-Team,Architecture
C25226 - Hawks Ridge (25226),Plan Approval,CIP-Line ID,P1010.C
C25226 - Hawks Ridge (25226),Begin Bid Process,Assignee,1202584680648809
C25226 - Hawks Ridge (25226),Begin Bid Process,Due On,2023-01-09
C25226 - Hawks Ridge (25226),Begin Bid Process,CIP-Milestone,*
C25226 - Hawks Ridge (25226),Begin Bid Process,CIP-Team,Purchasing
C25226 - Hawks Ridge (25226),Begin Bid Process,CIP-Line ID,P1011.C
C25226 - Hawks Ridge (25226),Contract Signed,Assignee,1202483398164627
C25226 - Hawks Ridge (25226),Contract Signed,Due On,2023-01-16
C25226 - Hawks Ridge (25226),Contract Signed,CIP-Milestone,*
C25226 - Hawks Ridge (25226),Contract Signed,CIP-Team,Legal
C25226 - Hawks Ridge (25226),Contract Signed,CIP-Line ID,P1083.C
C25226 - Hawks Ridge (25226),LD Start,Assignee,1199128502925200
C25226 - Hawks Ridge (25226),LD Start,Due On,2023-01-30
C25226 - Hawks Ridge (25226),LD Start,Start On,2023-01-23
C25226 - Hawks Ridge (25226),LD Start,CIP-Milestone,*
C25226 - Hawks Ridge (25226),LD Start,CIP-Team,Land Dev
C25226 - Hawks Ridge (25226),LD Start,CIP-Line ID,P1086.C
C25226 - Hawks Ridge (25226),Energize Site (Site Hot),Assignee,1199128502925200
C25226 - Hawks Ridge (25226),Energize Site (Site Hot),Due On,2023-02-03
C25226 - Hawks Ridge (25226),Energize Site (Site Hot),Start On,2023-01-31
C25226 - Hawks Ridge (25226),Energize Site (Site Hot),CIP-Milestone,*
C25226 - Hawks Ridge (25226),Energize Site (Site Hot),CIP-Team,Land Dev
C25226 - Hawks Ridge (25226),Energize Site (Site Hot),CIP-Line ID,P1019.C
C25226 - Hawks Ridge (25226),Model Start,Assignee,1199128502925200
C25226 - Hawks Ridge (25226),Model Start,Due On,2023-02-06
C25226 - Hawks Ridge (25226),Model Start,CIP-Milestone,*
C25226 - Hawks Ridge (25226),Model Start,CIP-Team,Construction
C25226 - Hawks Ridge (25226),Model Start,CIP-Line ID,P1030.C
C25226 - Hawks Ridge (25226),Open for Sale,Assignee,1202584680648809
C25226 - Hawks Ridge (25226),Open for Sale,Due On,2023-02-13
C25226 - Hawks Ridge (25226),Open for Sale,CIP-Milestone,*
C25226 - Hawks Ridge (25226),Open for Sale,CIP-Team,Sales
C25226 - Hawks Ridge (25226),Open for Sale,CIP-Line ID,P1029.C
C25226 - Hawks Ridge (25226),First Lot Takedown/Open Escrow,Assignee,1202483398164627
C25226 - Hawks Ridge (25226),First Lot Takedown/Open Escrow,Due On,2023-02-20
